0h05m07.9204s +-0d31m25.6597s
0h05m08.008s +0d57m34.665s
0h05m09.9365s +0d38m09.5974s
0h05m10.2546s +-1d00m20.4804s
0h05m10.3397s +0d28m05.1618s
0h05m10.6305s +-10d29m27.8232s
0h05m10.8872s +-10d51m03.7368s
0h05m11.0598s +-10d29m47.0832s
0h05m11.1636s +-8d58m42.0622s
0h05m11.7052s +15d38m46.194s
0h05m13.8843s +-11d05m58.4952s
0h05m14.2673s +-9d53m48.4429s
0h05m15.4042s +-0d38m34.9365s
0h05m16.2015s +0d19m30.2206s
0h05m16.3195s +-0d47m04.1721s
0h05m16.5051s +14d36m30.8304s
0h05m17.2975s +15d08m55.4388s
0h05m17.4185s +-0d36m51.6653s
0h05m17.5519s +0d58m35.9128s
0h05m18.0018s +15d34m03.2124s
0h05m18.3779s +15d39m24.0588s
0h05m18.6006s +0d27m55.733s
0h05m18.6776s +0d17m44.6953s
0h05m19.8754s +-10d25m54.8148s
0h05m20.2389s +-10d26m19.0932s
0h05m20.5586s +0d56m43.9734s
0h05m20.6238s +14d34m11.1036s
0h05m20.7578s +-10d28m10.2864s
0h05m22.016s +-9d32m30.6456s
0h05m22.6603s +14d52m06.8124s
0h05m22.7494s +-9d02m08.2997s
0h05m24.1243s +16d02m59.8632s
0h05m27.051s +13d48m49.6476s
0h05m27.4035s +0d50m48.1521s
0h05m27.8347s +15d24m50.1948s
0h05m27.8931s +-10d01m46.8768s
0h05m28.5746s +-0d28m48.5999s
0h05m30.4408s +-9d57m01.1437s
0h05m31.4528s +-10d28m58.152s
0h05m31.6469s +-8d56m27.5402s
0h05m31.7345s +-9d35m01.2185s
0h05m32.5244s +-11d09m08.0676s
0h05m34.1108s +0d51m42.2329s
0h05m34.6603s +-10d38m07.5084s
0h05m35.8836s +-0d55m20.4922s
0h05m37.7114s +0d21m36.3662s
0h05m37.7434s +0d32m58.1142s
0h05m38.6345s +15d39m03.0996s
0h05m39.8693s +15d50m57.3252s
0h05m41.0092s +-9d20m14.1644s
