,ra,dec
799,232.56235,46.623402
800,232.37056,46.676243
801,232.44977,46.67761
802,232.34762,46.603975
803,232.31795,46.545693
804,232.60032,46.615012
805,232.79902,46.818392
806,232.25841,46.757098
807,232.88763,46.924074
808,232.53644,46.839843
809,232.66665,46.668001
810,232.2357,46.998419
811,232.8207,47.294011
812,232.95615,46.987158
813,232.98244,47.214636
814,233.01289,47.007381
815,232.57086,47.147908
816,232.78925,47.05006
817,232.58401,47.401391
818,232.79959,47.480989
819,233.05,47.44193
820,233.10622,47.45025
821,233.11867,47.545954
822,232.88023,47.515331
823,232.63459,47.395923
824,231.95408,46.191085
825,231.85067,46.764658
826,231.75521,46.240449
827,232.06607,46.929747
828,232.05371,46.364145
829,231.87792,46.319846
830,231.73933,46.134302
831,231.93048,46.67614
832,231.87551,46.843283
833,232.1828,46.763191
834,231.77522,46.291413
835,231.9843,46.960281
836,231.85882,47.008301
837,232.45366,47.120343
838,232.15413,47.311552
839,146.71421,-1.0413043
840,146.74413,-0.65219064
841,146.90229,-0.98491332
842,146.62857,-0.76513683
843,146.63167,-0.98827781
844,146.91945,-0.99049175
845,146.76339,-0.81043316
846,146.62282,-0.95138526
847,146.9341,-0.67040397
848,137.21143,63.126296
849,136.35484,62.829042
850,136.5308,62.945993
851,136.53808,63.041568
852,136.80098,63.110366
853,137.20829,63.32131
854,136.69831,62.936726
855,136.98218,63.297428
856,136.76607,63.222692
857,137.31761,63.423878
858,137.16638,63.341629
859,137.08442,63.479671
860,136.29257,62.853934
861,136.37824,62.938929
862,136.48304,63.040278
863,136.20803,62.964932
864,136.34748,63.145422
865,136.24534,63.293761
866,136.15289,63.100494
867,136.38664,63.289669
868,136.14988,63.273496
869,136.36271,63.227697
870,136.21605,63.405827
871,136.2707,63.312903
872,136.10513,63.290887
873,136.09668,63.374778
874,136.10835,63.416979
875,135.79208,62.259846
876,135.85437,62.252439
877,136.05997,62.437664
878,136.20973,62.219804
879,136.55312,62.599836
880,136.88367,62.607488
881,136.19028,62.68882
882,6.6423189,14.481454
883,6.6662179,14.370237
884,6.5337731,14.346854
885,6.5501282,14.420939
886,6.5147428,14.68645
887,6.7547671,14.604437
888,6.4936971,14.72756
889,6.5311952,14.746059
890,6.4831934,14.774679
891,6.4799897,14.98691
892,6.495735,14.347994
893,6.7681307,14.958716
894,6.2444049,13.912709
895,6.1541033,13.920543
896,6.2067525,13.985222
897,6.2325359,14.218542
898,6.1739431,14.284522
899,6.1294287,14.260589
900,6.1049365,14.272577
901,6.2143565,14.21026
902,6.1962067,13.946457
903,6.0435929,13.785952
904,6.0225972,14.173256
905,6.0033175,14.148332
906,6.108115,14.069624
907,6.0675158,14.236843
908,6.2184968,14.191496
909,6.0734391,14.272235
910,5.9975407,13.834811
911,6.1811054,14.072083
912,6.4187326,14.335046
913,6.3271529,14.644657
914,6.3639088,14.629915
915,6.3393592,14.418823
916,6.3818739,14.709469
917,6.3360825,14.534532
918,6.2466132,14.748748
919,6.4090064,14.830147
920,6.466685,15.026088
921,6.4452149,14.850378
922,6.2666995,14.97091
923,6.3221238,14.578025
924,6.3416056,15.000423
925,5.7634715,14.18178
926,5.8275244,13.976015
927,5.8682748,14.248792
928,5.7888187,14.248756
929,5.8261791,14.119414
930,5.9835818,14.02691
931,233.61076,52.480215
932,233.28548,52.253945
933,233.60007,52.631537
934,233.61687,52.352153
935,233.53307,52.510368
936,233.36937,52.349376
937,233.54402,52.624661
938,233.30241,52.677385
939,233.44164,52.913441
940,233.3704,52.772073
941,233.17397,52.743374
942,233.40118,52.822723
943,233.3675,52.900157
944,233.48033,52.998271
945,233.15305,52.720948
946,233.47543,53.018058
947,233.30777,52.723306
948,233.39525,52.891891
949,233.2636,52.872927
950,233.2811,52.961486
951,233.34355,53.09939
952,232.88013,51.873383
953,232.86903,51.750167
954,9.48837630000003,8.9074715
955,9.31273650000003,8.933376
956,9.38795069999998,9.0760343
957,9.52055890000003,9.1265259
958,9.56778739999999,9.0891416
959,9.56536670000003,9.2721216
960,9.49839550000002,9.2693118
961,9.29718800000001,9.1725037
962,9.39688150000001,9.2808843
963,9.44386309999999,9.2231548
964,9.20585160000002,8.7010621
965,9.14729599999998,8.7251226
966,9.24893450000002,8.779844
967,9.15453739999998,8.7856325
968,9.27730730000002,8.9484764
969,9.21794419999998,9.0324065
